Word,Length,Frequency
,0,6
'tis,4,1
'twixt,6,1
1,1,3
2,1,2
a,1,35
abbess,6,1
able,4,1
aboard,6,1
about,5,1
absence,7,1
according,9,1
accords,7,1
act,3,2
adjudged,8,1
admit,5,1
adriana,7,15
adverse,7,1
adversity,9,1
advocate,8,1
after,5,1
afterward,9,1
again,5,3
against,7,2
agreed,6,1
alas,4,1
alike,5,2
all,3,6
almanac,7,1
also,4,3
always-wind-obeying,19,1
am,2,8
amain,5,1
amount,6,1
an,2,5
and,3,75
angelo,6,2
another,7,2
answer,6,1
antipholus,10,22
any,3,4
apprehended,11,1
approached,10,1
are,3,6
arrival,7,1
arrived,7,1
art,3,4
as,2,11
asia,4,1
asses,5,1
at,2,18
attend,6,2
attendant--so,13,1
attendants,10,2
away,4,1
ay,2,2
babes,5,1
bad,3,1
balthasar,9,1
barbara,7,1
bark,4,1
bay,3,1
be,2,15
bear,4,5
bear--,6,1
beasts,6,1
beating,7,1
became,6,2
because,7,4
bed,3,1
bedtime,7,1
been,4,6
befall'n,8,1
before,6,5
beg,3,1
being,5,4
bell,4,1
bend,4,1
beneficial,10,1
benefit,7,2
bereft,6,1
beshrew,7,1
bestowed,8,1
betrothed,9,1
between,7,1
bid,3,1
bliss,5,1
bloods,6,1
blows,5,1
boat,4,1
body,4,1
born,4,3
borne,5,1
borrow,6,1
both,4,4
bought,6,1
bound,5,2
bounds,6,1
boy,3,1
boys,4,1
break,5,2
bridle,6,1
bridled,7,1
brief,5,1
broke,5,1
brother,7,4
brought,7,1
bruised,7,1
buildings,9,1
burden,6,1
burdened,8,2
burns,5,1
business,8,2
but,3,23
buy,3,1
by,2,20
called,6,3
calls,5,1
calm,4,1
came,4,2
came--o,7,1
camt,4,1
can,3,3
cannot,6,2
capon,5,1
care,4,5
careful,7,1
carried,7,2
case,4,1
cause,5,3
centaur,7,2
certain,7,1
chance,6,1
change,6,1
characters,10,1
charge,6,4
cheaters,8,1
cheek,5,1
children,8,1
christian,9,1
citizen,7,3
city,4,1
clean,5,1
clock,5,2
coasting,8,1
cold,4,2
come,4,12
comedy,6,1
comes,5,2
comfort:,8,1
coming,6,1
commend,7,1
commends,8,2
company,7,1
complain,8,1
condemned,9,1
confiscate,10,2
confounds,9,1
consort,7,1
content,7,2
controls,8,1
convey,6,1
corinth,7,3
could,5,7
couldst,7,1
countrymen,10,2
course,6,1
courtesan,9,1
cozenage,8,1
crave,5,1
crown,5,1
crupper?,8,1
cry,3,1
custody,7,1
custody?,8,1
daily,5,1
dally,5,1
dark-working,12,1
dart,4,1
date.--,7,1
day,3,3
death,5,5
deceive,7,1
decreed,7,1
deep,4,1
default,7,1
deform,6,1
delays,6,1
delight,7,1
delivered,9,1
departedst,10,1
device,6,1
did,3,4
didst,5,1
die,3,1
die.--,6,1
dies,4,2
dignity,7,1
dilate,6,1
dine,4,2
dinner,6,7
dinnertime,10,1
dire,4,1
disannul,8,1
discord,7,1
discovered,10,1
disguised,9,1
disparagement,13,1
dispersed,9,1
dispose,7,1
disposed,8,2
distinguished,13,1
divine,6,1
divorce,7,1
do,2,2
done,4,3
doom,4,1
doomed,6,1
door,4,1
doth,4,2
doubtful,8,1
doubtfully,10,2
down,4,1
dr,2,1
drew,4,1
dromio,6,24
drop,4,2
duke,4,9
dull,4,1
ear,3,1
ears,4,1
earth,5,2
edited,6,1
egeon,5,10
eighteen,8,1
either,6,1
eldest,6,1
embraced,8,1
embracements,12,1
emilia,6,1
encountered,11,1
end,3,6
endued,6,1
engaged,7,1
enmity,6,1
enter,5,5
ephesian,8,3
ephesus,7,34
epidamium,9,3
epidaurus,9,1
ere,3,4
errors,6,1
evening,7,1
exceeding,9,1
excludes,8,1
exit,4,1
exits,5,4
exorcist,8,1
extremity,9,1
eye,3,2
eyes,4,1
face,4,1
factor,6,1
fainting,8,1
fairs,5,1
fall,4,1
falling,7,1
falls,5,1
far,3,1
farewell,8,1
farthest,8,1
fashion,7,1
fast,4,3
fastened,8,2
fates,5,1
fault,5,1
favor,5,2
fear,4,2
fearful,7,1
feel,4,2
fellow,6,1
females,7,1
fetch,5,1
find,4,3
